Date,Open,High,Low,Close
1793-03-31,19.39,19.39,19.39,19.39
1793-06-30,19.39,19.39,19.39,19.39
1793-09-30,19.39,19.39,19.39,19.39
1793-12-31,19.39,19.39,19.39,19.39
1794-03-31,19.39,19.39,19.39,19.39
1794-06-30,19.39,19.39,19.39,19.39
1794-09-30,19.39,19.39,19.39,19.39
1794-12-31,19.39,19.39,19.39,19.39
1795-03-31,19.39,19.39,19.39,19.39
1795-06-30,19.39,19.39,19.39,19.39
1795-09-30,19.39,19.39,19.39,19.39
1795-12-31,19.39,19.39,19.39,19.39
1796-03-31,19.39,19.39,19.39,19.39
1796-06-30,19.39,19.39,19.39,19.39
1796-09-30,19.39,19.39,19.39,19.39
1796-12-31,19.39,19.39,19.39,19.39
1797-03-31,19.39,19.39,19.39,19.39
1797-06-30,19.39,19.39,19.39,19.39
1797-09-30,19.39,19.39,19.39,19.39
1797-12-31,19.39,19.39,19.39,19.39
1798-03-31,19.39,19.39,19.39,19.39
1798-06-30,19.39,19.39,19.39,19.39
1798-09-30,19.39,19.39,19.39,19.39
1798-12-31,19.39,19.39,19.39,19.39
1799-03-31,19.39,19.39,19.39,19.39
1799-06-30,19.39,19.39,19.39,19.39
1799-09-30,19.39,19.39,19.39,19.39
1799-12-31,19.39,19.39,19.39,19.39
1800-03-31,19.39,19.39,19.39,19.39
1800-06-30,19.39,19.39,19.39,19.39
1800-09-30,19.39,19.39,19.39,19.39
1800-12-31,19.39,19.39,19.39,19.39
1801-03-31,19.39,19.39,19.39,19.39
1801-06-30,19.39,19.39,19.39,19.39
1801-09-30,19.39,19.39,19.39,19.39
1801-12-31,19.39,19.39,19.39,19.39
1802-03-31,19.39,19.39,19.39,19.39
1802-06-30,19.39,19.39,19.39,19.39
1802-09-30,19.39,19.39,19.39,19.39
1802-12-31,19.39,19.39,19.39,19.39
1803-03-31,19.39,19.39,19.39,19.39
1803-06-30,19.39,19.39,19.39,19.39
1803-09-30,19.39,19.39,19.39,19.39
1803-12-31,19.39,19.39,19.39,19.39
1804-03-31,19.39,19.39,19.39,19.39
1804-06-30,19.39,19.39,19.39,19.39
1804-09-30,19.39,19.39,19.39,19.39
1804-12-31,19.39,19.39,19.39,19.39
1805-03-31,19.39,19.39,19.39,19.39
1805-06-30,19.39,19.39,19.39,19.39
1805-09-30,19.39,19.39,19.39,19.39
1805-12-31,19.39,19.39,19.39,19.39
1806-03-31,19.39,19.39,19.39,19.39
1806-06-30,19.39,19.39,19.39,19.39
1806-09-30,19.39,19.39,19.39,19.39
1806-12-31,19.39,19.39,19.39,19.39
1807-03-31,19.39,19.39,19.39,19.39
1807-06-30,19.39,19.39,19.39,19.39
1807-09-30,19.39,19.39,19.39,19.39
1807-12-31,19.39,19.39,19.39,19.39
1808-03-31,19.39,19.39,19.39,19.39
1808-06-30,19.39,19.39,19.39,19.39
1808-09-30,19.39,19.39,19.39,19.39
1808-12-31,19.39,19.39,19.39,19.39
1809-03-31,19.39,19.39,19.39,19.39
1809-06-30,19.39,19.39,19.39,19.39
1809-09-30,19.39,19.39,19.39,19.39
1809-12-31,19.39,19.39,19.39,19.39
1810-03-31,19.39,19.39,19.39,19.39
1810-06-30,19.39,19.39,19.39,19.39
1810-09-30,19.39,19.39,19.39,19.39
1810-12-31,19.39,19.39,19.39,19.39
1811-03-31,19.39,19.39,19.39,19.39
1811-06-30,19.39,19.39,19.39,19.39
1811-09-30,19.39,19.39,19.39,19.39
1811-12-31,19.39,19.39,19.39,19.39
1812-03-31,19.39,19.39,19.39,19.39
1812-06-30,19.39,19.39,19.39,19.39
1812-09-30,19.39,19.39,19.39,19.39
1812-12-31,19.39,19.39,19.39,19.39
1813-03-31,19.39,19.39,19.39,19.39
1813-06-30,19.39,19.39,19.39,19.39
1813-09-30,19.39,19.39,19.39,19.39
1813-12-31,19.39,19.39,19.39,19.39
1814-03-31,19.39,19.39,19.39,19.39
1814-06-30,19.39,19.39,19.39,19.39
1814-09-30,19.39,21.79,19.39,21.79
1814-12-31,21.79,21.79,21.79,21.79
1815-03-31,21.79,21.79,21.79,21.79
1815-06-30,21.79,21.79,19.78,19.78
1815-09-30,19.78,23.07,19.78,23.07
1815-12-31,23.07,23.07,22.16,22.16
1816-03-31,22.16,22.16,22.16,22.16
1816-06-30,22.16,22.16,22.16,22.16
1816-09-30,22.16,22.16,19.74,19.74
1816-12-31,19.74,19.84,19.74,19.84
1817-03-31,19.84,19.84,19.84,19.84
1817-06-30,19.84,19.89,19.84,19.89
1817-09-30,19.89,19.89,19.39,19.39
