Entry_ym,Exit_ym,Side,Return
1995-02-01,1995-02-01,GOLD,-0.021284930791329315
1995-03-01,1996-04-01,NDQ,0.504181777810673
1996-05-01,1996-11-01,GOLD,-0.04312634374604796
1996-12-01,1997-04-01,NDQ,0.059934307637069306
1997-05-01,1997-05-01,GOLD,-0.03361344537815125
1997-06-01,1997-11-01,NDQ,0.16562635754624222
1997-12-01,1998-02-01,GOLD,-0.033141210374639796
1998-03-01,1998-08-01,NDQ,0.28580097653879566
1998-09-01,1999-01-01,GOLD,0.004538313841857322
1999-02-01,1999-02-01,NDQ,0.15859390744059132
1999-03-01,1999-03-01,GOLD,3.488574917147602e-4
1999-04-01,1999-08-01,NDQ,0.17910974729616758
1999-09-01,2001-11-01,GOLD,0.09222352481438145
2001-12-01,2002-06-01,NDQ,-0.1277411883911126
2002-07-01,2003-04-01,GOLD,0.027254631756239434
2003-05-01,2004-05-01,NDQ,0.3746658601783386
2004-06-01,2004-11-01,GOLD,0.10254433307633004
2004-12-01,2005-04-01,NDQ,0.0037544154751893988
2005-05-01,2005-06-01,GOLD,-0.026635514018691575
2005-07-01,2005-08-01,NDQ,0.04411278239380434
2005-09-01,2005-11-01,GOLD,0.08383791336748958
2005-12-01,2006-05-01,NDQ,0.08508108864123276
2006-06-01,2006-09-01,GOLD,-0.04223089281615766
2006-10-01,2007-03-01,NDQ,0.08798082065932111
2007-04-01,2007-04-01,GOLD,-0.013439263439263383
2007-05-01,2007-08-01,NDQ,0.08624825442587492
2007-09-01,2009-04-01,GOLD,0.382079025889869
2009-05-01,2010-06-01,NDQ,0.5187104202648243
2010-07-01,2010-10-01,GOLD,0.07483133124897146
2010-11-01,2011-06-01,NDQ,0.1756392500260613
2011-07-01,2012-02-01,GOLD,0.13132786703745403
2012-03-01,2012-05-01,NDQ,0.09575599809801671
2012-06-01,2012-07-01,GOLD,-0.040649771799183276
2012-08-01,2012-11-01,NDQ,0.017018788314249855
2012-12-01,2013-01-01,GOLD,-0.028212436740154723
2013-02-01,2014-10-01,NDQ,0.48222842205985383
2014-11-01,2014-11-01,GOLD,-0.03403124016498005
2014-12-01,2015-01-01,NDQ,0.02360717204249374
2015-02-01,2015-02-01,GOLD,0.0787219166196329
2015-03-01,2015-03-01,NDQ,0.06982141612948967
2015-04-01,2016-04-01,GOLD,0.01419968408582295
2016-05-01,2018-02-01,NDQ,0.5488404825887492
2018-03-01,2019-07-01,GOLD,0.03974455240913244
2019-08-01,2019-08-01,NDQ,0.006401793116153298
2019-09-01,2019-09-01,GOLD,0.08166731538162142
2019-10-01,2019-10-01,NDQ,0.019490360923391625
2019-11-01,2019-11-01,GOLD,0.02720838936658665
2019-12-01,2020-03-01,NDQ,0.055153750023085424
2020-04-01,2020-06-01,GOLD,0.09067098792184058
2020-07-01,2021-10-01,NDQ,0.5463694164550623
2021-11-01,2021-11-01,GOLD,0.01370673952641166
2021-12-01,2021-12-01,NDQ,0.02949379739174951
2022-01-01,2023-02-01,GOLD,0.08621840644250867
2023-03-01,2025-03-01,NDQ,0.7364095725319169
2025-04-01,2025-08-01,GOLD,0.1522744782182377
2025-09-01,2025-10-01,NDQ,0.06966504599177203
