Year,Strat,NDQ,GOLD
1995,0.43360400387479814,0.4686224552897815,0.010707756594411144
1996,0.0897858982693005,0.4047193963484468,-0.041860465116279055
1997,0.02466021554584441,0.25958921355859044,-0.1983549083063647
1998,0.33736563177430834,0.48305108947082953,-0.013288477712363522
1999,0.5233147848434105,0.9063647333692773,-0.008694169792021866
2000,-0.07050730868443644,-0.13580961872567376,-0.07050730868443644
2001,0.17985926385312667,-0.3858759175277009,0.015356151711378274
2002,-0.25202949490363846,-0.2740981817720427,0.1641763848396498
2003,0.4691698261080779,0.2533538423890722,0.24808264204100783
2004,0.15035012070940135,0.10051600306812669,0.13117632304991256
2005,0.11428193478454962,0.06661808965626514,0.0898004434589803
2006,0.09416617066537425,0.0637047861755149,0.3155645981688713
2007,0.225310682713733,0.16165818734188497,0.21521806371790886
2008,0.03881592343718099,-0.4440026921782607,0.03881592343718099
2009,0.6474589288123125,0.5415510189964807,0.4451277779139
2010,0.18851661764297045,0.2062932944442888,0.1752288911495421
2011,0.2541617578307591,0.06678477104489833,0.261451345307653
2012,0.06052383925757887,0.17572909901624545,-0.018315939957111893
2013,0.24691560880259167,0.29569888486861595,-0.273049769327555
2014,0.16125558828209186,0.23712543668653252,-0.07822303420755328
2015,-0.004146774257213881,0.08358542406749558,-0.07426435432694378
2016,0.24713870975423857,0.025936716290485995,0.10198888179393739
2017,0.31597933747610174,0.31597933747610174,0.08609920496280443
2018,-0.007222014989703762,0.12350271357228815,-0.040978526091152045
2019,0.3505844185765321,0.18334871757349225,0.19776003403308406
2020,0.4452342019269655,0.4729859082245025,0.21384223431939775
2021,0.24105670735632145,0.31970144386088717,-0.001161972821652868
2022,-0.003602644380409692,-0.2641136875793677,-0.003602644380409692
2023,0.4332689548112407,0.32105344531779956,0.15177334637500062
2024,0.31959359676427845,0.31959359676427845,0.3021996632517314
2025,0.23359504591567215,0.1701092326061331,0.45470926397135036
